Display Name,Street 1,Street 2 (optional),City,State Province,Postal Code,Country Code,Latitude,Longitude
Grass Valley-Australia Victoria,18-24 Ricketts Rd,"Building A, Unit 1",Mt. Waverly,Victoria,3149,AU,-37.89563,145.133269
Belden Australia,19-43 Enterprize Rd.,,West Melbourne,Victoria,3003,AU,-37.813606,144.930751
Grass Valley-New Zealand,3 Margot St.,Level 2,Auckland,,,NZ,-36.876952,174.77762
Grass Valley-Australia Chatswood,372 Eastern Valley Way,Unit 8,Chattswood,New South Wales,2067,AU,-33.785329,151.200305
Belden New Zealand,811 Pacific Highway,Ground Floor,Gordon,,2070,NZ,-33.75242,151.14983
Poliron,Avenida Maria Leonor 1222,,Diadema,Sao Paulo,09920-080,BR,-23.672321,-46.62041
Grass Valley-Brazil,Rua Surubim 577,,Cidade Moncoes,Sao Paulo,04571-050,BR,-23.600882,-46.694484
ProSoft-Brazil,Rua Sampaio Viana 202,,Paraiso,Sao Paulo,,BR,-23.573433,-46.645825
Belden Indonesia,Wisma 46 - Kota BNI,"16th Fllor, Suite 16.08",Jakarta,,10220,ID,-6.208763,106.845599
Grass Valley-Singapore,83 Clemenceau Ave,Unit #07-01,Singapore,,239920,SG,1.292809,103.842937
Belden Singapore,27 International Business Park,"#05-01, Iquest@IBP",Singapore,,609924,SG,1.325937,103.746759
Belden Vietnam,"6 Le Thanh Ton Street, Ben Nghe Ward","Unit 1708, Level 17, Gemadept Tower","District 1, Ho Chi Minh City",,,VN,10.775659,106.700424
Belden Thailand,"35th Floor, Rama 9 Road","33/4 The Ninth Towers, Tower A",Bangkok,,10310,TH,13.754492,100.583398
Belden Philippines,"One Global Place Level 10-1, 25th Street & 5th Street",,Bonifacio Global City,Taguig,,PH,14.520574,121.059308
PPC-St. Kitts,CAP Southwell Industrial Park,PO Box 1473,Basseterre,,,KN,17.302606,-62.717692
Belden India Mumbai,"Kurla Road, Opp. Skyline Ikon","Unit 503, Wellington-II, Wellington Businesspark",Mumbai,Maharashtra,400059,IN,19.105413,72.881147
Mexico City Sales Office,Avenida Insurgentes Sur 1602,Oficina 102,Colonia Benito Juarzez,DF,03940,MX,19.363643,-99.182357
Grass Valley-Hong Kong,"Unit 3602, Citicorp Centre, 18 Whitfield Rd.",,Hong Kong,,,HK,22.286297,114.190298
Belden Hong Kong,16 Science Park East Avenue,7/F Harbour View 2,Science Park,Shatin,,HK,22.427601,114.211414
Grass Valley-UAE,"Dubai Media City, Shatha Tower","31st Floor, Office No. 3101, PO Box 71808",Dubai,,,AE,25.089578,55.152872
Belden Dubai,Dubai Internet City,"Building One, Office 216",Dubai,,,AE,25.097612,55.163109
PPC-Monterrey,Av. Sendero Division #500,B-1,San Pedro Garza Garcia,NL,66220,MX,25.662335,-100.36944
Grass Valley-Miami,"Doral Corporate Center II, 3750 NW 87th Ave.",Suite 200,Miami,FL,33178,US,25.808311,-80.338128
Belden India Gurgaon,"Iris Tech Park, Sohna Road, Sector 48","Office No. 1007, 10th Floor, A Block",Gurgaon,,122018,IN,28.418081,77.05069
Grass Valley-India,SB Tower,Sector 16A,Noida,Uttar Pradesh,,IN,28.535516,77.391026
Belden Shanghai,1515 Gumei Road,"Unit 301, No. 19 Building",Shanghai,,200233,CN,31.159353,121.401396
Alpha Wire-China,30 Lane 99 Guangzhou Rd.,Room 302,Shanghai,,200031,CN,31.209134,121.455786
Nogales Plant,Avenida de los Nogales #290,,Nogales,Sonora,84090,MX,31.265414,-110.938902
PPC-China,288 Sengpu Rd.,,Shanghai,,,CN,31.29953,120.837059
Belden Suzhou,333 Yanhu Road,,Kunshan,Jiangsu,215332,CN,31.300489,121.107546
Grass Valley-China Shanghai,318 Fu Te Road North,Suite 3D,Shangahi,,,CN,31.338691,121.585941
Tijuana Plant,Boulevard Insurgentes #8272,,Tijuana,Baja California,22225,MX,32.464031,-116.911976
Menlo Distribution Center,5 South 84th Ave,,Tolleson,AZ,85353,US,33.445528,-112.240374
Alpha/Coast Wire,1048 E. Burgrove St.,,Carson,CA,90746,US,33.844516,-118.25402
Grass Valley-Norcross,45 Technology Parkway South,,Norcross,GA,30092,US,33.961018,-84.218792
Grass Valley-Burbank,2255 N. Ontario St.,Suite #170,Burbank,CA,91504,US,34.193473,-118.344995
West Penn Wire-Flowery Branch,4606 Elk Ridge Ct.,Suite F,Flowery Branch,GA,30542,US,34.195986,-83.912988
ProSoft Corporate,5201 Truxtun Ave.,3rd Floor,Bakersfield,CA,93309,US,35.368395,-119.060231
ProSoft-NC,1113 N. Main St.,,Mooresville,NC,28115,US,35.590629,-80.791909
Belden Japan,1-12-8 Nihonbashi,Dai 2 Yanagiya Building 2F,Tokyo,,1050022,JP,35.682508,139.775803
Monticello Plant,1211 Columbia Ave.,,Monticello,KY,42633,US,36.838224,-84.860931
Belden South Korea,"275-5, Yangjae-Dong","18F, Taesuk Bldg",Seoul,,137-943,KR,37.477024,127.043267
GarrettCom,255 Fourier Ave.,,Fremont,CA,94539,US,37.480896,-121.927
St. Louis Corporate HQ,1 N. Brentwood Blvd.,15th Floor,St. Louis,MO,63105,US,38.650886,-90.341943
West Penn Wire-Sacramento,4641 Pell Drive,Unit #4,Sacramento,CA,95838,US,38.65244,-121.472645
Grass Valley-Grass Valley,125 Crown Point Court,,Grass Valley,CA,95945,US,39.218156,-121.027412
Grass Valley-Nevada City,400 Providence Mine Road,,Nevada City,CA,95959,US,39.256083,-121.034446
Grass Valley-Lakewood,1536 Cole Blvd. B#4,Suite 210,Lakewood,CO,80401,US,39.739371,-105.152014
Richmond Division Office,2200 US Hwy 27 South,,Richmond,IN,47374,US,39.795871,-84.89373
Richmond Distribution Center,1411 NW 11th St.,,Richmond,IN,47374,US,39.848692,-84.91611
Richmond Plant,350 NW N St.,,Richmond,IN,47374,US,39.848954,-84.90493
Hirschmann/Lumberg Automation,1540 Orchard Drive,,Chambersburg,PA,17201,US,39.913242,-77.660959
Belden Beijing,56 East Middle 4th Ring Road,"Beijing Office Unit 2006A, Tower A",Beijing,,100025,CN,39.913736,116.491473
Indianapolis Office,401 Pennsylvania Parkway,Suite 200,Indianapolis,IN,46280,US,39.932064,-86.148826
Grass Valley-China Beijing,"8 Xueqing Road, Haidian District","6F Tower A, Technology Fortune Centre",Beijing,,100192,CN,40.016881,116.352709
West Penn Wire-Washington,2833 W. Chestnut St.,,Washington,PA,15301,US,40.15585,-80.296372
X-Mark,2001 N. Main St.,,Washington,PA,15301,US,40.202356,-80.261612
Belden Spain,25 Calle Virgilio,,Pozuelo de Alarcon,Madrid,28223,ES,40.396087,-3.798124
Belden & Hirschmann Spain,"Anabel Seguara, 10",,Madrid,,28108,ES,40.534184,-3.627543
Alpha Wire HQ/DC,711 Lidgerwood Ave.,,Elizabeth,NJ,07202,US,40.652112,-74.223962
Grass Valley-Salt Lake City,2252 South 2330 West,Suite A,West Valley City,UT,84119,US,40.696299,-111.956394
Alpha Wire-West Babylon,57 Mahan St.,,West Babylon,NY,11704,US,40.736971,-73.376113
Grass Valley-Montvale,135 Chestnut Ridge Rd.,,Montvale,NJ,07645,US,41.059412,-74.066417
Grass Valley-Turkey,1 Levent Plaza,#173,Istanbul,,,TR,41.076393,29.012077
Belden Italy,20 Via Olindo Guerrini,,Rome,,00137,IT,41.955642,12.54662
Grass Valley-Italy,"Via di Quarto Peperino, Roma Building E",Offices 3 and 4,Rome,,00188,IT,41.977208,12.491295
LRC,224 N. Main Street Bldg. K,,Horseheads,NY,14845,US,42.177416,-76.818801
Mohawk,324 Clark St.,,Worcester,MA,01606,US,42.31279,-71.773923
Grass Valley-Telecast,324 Clark St.,,Worcester,MA,01606,US,42.31279,-71.773923
Alpha Wire Plant,128 Tolman Ave.,,Leominster,MA,01453,US,42.549261,-71.745155
PPC HQ,6176 E. Molloy Rd.,,Syracuse,NY,13057,US,43.098435,-76.091728
ProSoft-Canada,245 W. Beaver Creek Rd.,#9B,Richmond Hill,ON,L4B 1L1,CA,43.845809,-79.386284
Cobourg Plant,130 Willmott St.,,Cobourg,ON,K9A 0E9,CA,43.960448,-78.130916
ITC,"Via Bora, 4",,Bagnacavallo,,48012,IT,44.409845,11.999721
Belden Montreal,2310 Alfred-Nobel Boulevard,,St-Laurent,QC,H4S 2A4,CA,45.481656,-73.761396
Grass Valley-Montreal,3499 Doulgas-B.-Floreani,,Montreal,QC,H4S 2C6,CA,45.498611,-73.765321
Tripwire US HQ,101 SW Main St.,Ste. 1500,Portland,OR,97204,US,45.515504,-122.675336
Grass Valley-Hillsboro,3030 NW Aloclek Dr.,,Hillsboro,OR,97124,US,45.541524,-122.892317
Belden & Hirschmann Italy,Viale Bartolomeo Colleoni 9,,Agrate Brianza,MB,20864,IT,45.573723,9.336302
Grass Valley-Germany Dietikon,Lerzenstr. 21,,Dietikon,Dietikon,8953,CH,47.419123,8.396756
Duna,Hengermalom ut 43,,Budapest,,1117,HU,47.460744,19.052918
Neckartenzlingen,Stuttgarter Strabe 45-41,,Neckartenzlingen,,72654,DE,48.59658,9.24103
Grass Valley-France,32 Rue Pierre Grenier,,Boulogne-Billancourt,,92100,FR,48.828349,2.251173
Miranda-France,216 Rue De Rosny,,Montreuil,,,FR,48.866988,2.460628
Ettingen,Hertzstrabe 32-34,,Ettingen,,76275,DE,48.927693,8.398921
Belden & Hirschmann France,2 Rue des Charpentiers,,Domont,,95330,FR,49.027546,2.344549
Tofino Security,7217 Lantzville Rd,,Lantzville,BC,V0R 2H0,CA,49.250738,-124.076263
Grass Valley-Germany Weiterstadt,Brunnenweg 9,,Weirerstadt,,D-64331,DE,49.90243,8.60459
Grass Valley-Belgium,1620 Drogenbros,1070-B,Brussels,,,BE,50.787538,4.316451
Belden Czech Republic,Horni Podluzi 251,,Horni Podluzi,,407 57,CS,50.882685,14.548125
Schalksmuhle,Im Gewerbepark 2,,Schalksmuhle,,58579,DE,51.25855,7.5495
Venlo,Edisonstraat 9,5928 OG,Venlo,,,NL,51.385778,6.133697
Alpha Wire-UK AWI,"Saxon House, 1 Downside",,Sunbury-on-Thmas,Middlesex,TW16 6RT,UK,51.417781,-0.418477
Alpha Wire-UK Concordia,Shackleton House/Challenge Rd,,Feltham,Ashford,TW15 1AX,UK,51.438115,-0.440738
Grass Valley- UK Berkshire,"Abbey Gate, 57-75 Kings Road",1st Floor,Reading,,RG1 3AB,UK,51.455072,-0.964691
Miranda-UK Reading,Horseshoe Park,Unit 6/7,Pangbourne,Reading,RG8 7JW,GB,51.480482,-1.083045
Grass Valley-Netherlands Breda,Bergschot 69,4817 PA,Breda,,,NL,51.5925,4.826193
ProSoft-Poland,45A Kamionkowska St.,,Warsaw,,03-812,PL,52.247409,21.068603
Grass Valley-Netherlands Deventer,Bergpoorstraat 59,,Deventer,,,NL,52.25161,6.166669
Grass Valley- UK Castle Donington,"Pembroke House, Pegasus Business Park, Beverley Road",1st Floor,Castle Donington,,,UK,52.845016,-1.3373
Belden Manchester,"Manchester International Office Centre, Styal Road",Suite 13,Manchester,,M22 5WB,GB,53.364015,-2.23972
PPC-Denmark,Vaerkstedsvej 14,,Praesto,,4720,DK,55.113726,12.040806
Grass Valley-Russia,"Zemlyanoi Val, 66/20",,Moscow,,,RU,55.745211,37.654567
Belden Russia,9 Zemlyanoy val,"Suites 4037 & 4038, 4th Floor",Moscow,,105064,RU,55.761816,37.658161
Cekan,Videohojvej 4,,Gjern,,8883,DK,56.214907,9.749696
Belden Sweden,P.O. Box 9014,,Malmo,,200 39,SE,57.367541,14.471744
Grass Valley-Netherlands Solna,Svetsarvagen 15,,Solna,,171 41,NL,59.359512,17.980687
Grass Valley-Sweden,"Solna Business Park, Svetsarvagen 15",2tr,Solna,,SE-171 41,SE,59.359512,17.980687
